OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0604374
0, mujets, central, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0535661
0, mujets, down, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0535661
1, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0466655
1, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0466655
1, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0203547
1, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0203547
1, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0187707
1, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0187707
1, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0250719
1, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0250719
1, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.023081
1, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.023081
1, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0183273
1, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0183273
1, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0256502
