OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0563629
2, mujets, central, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0535369
2, mujets, down, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0535369
2, mujets, central, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.147916
2, mujets, down, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.147916
2, mujets, central, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0643519
2, mujets, down, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0643519
2, mujets, central, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0600093
2, mujets, down, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0600093
2, mujets, central, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0717036
2, mujets, down, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0717036
2, mujets, central, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0681723
2, mujets, down, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0681723
2, mujets, central, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0674675
2, mujets, down, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0674675
2, mujets, central, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0731497
2, mujets, down, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0731497
2, mujets, central, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0773609
2, mujets, down, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0773609
2, mujets, central, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0643183
2, mujets, down, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0643183
2, mujets, central, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0781828
2, mujets, down, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0781828
2, mujets, central, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.078581
2, mujets, down, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.078581
2, mujets, central, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0882484
2, mujets, down, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0882484
