#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                      | delivered(/pb) | recorded(/pb) |
| 167675:1890 | 06/24/11 23:12:35 | 935  | HLT_QuadJet40_IsoPFTau40_v9  | 20.282278662   | 19.991494778  |
| 167676:1890 | 06/25/11 06:08:31 | 436  | HLT_QuadJet40_IsoPFTau40_v9  | 8.014058005    | 7.902303505   |
| 167740:1893 | 06/25/11 21:05:28 | 83   | HLT_QuadJet40_IsoPFTau40_v9  | 2.325923458    | 2.289675014   |
| 167746:1894 | 06/26/11 00:26:48 | 325  | HLT_QuadJet40_IsoPFTau40_v9  | 8.934470830    | 8.786510447   |
| 167754:1895 | 06/26/11 05:40:56 | 37   | HLT_QuadJet40_IsoPFTau40_v9  | 1.072318328    | 1.052881333   |
| 167784:1898 | 06/26/11 11:00:43 | 17   | HLT_QuadJet40_IsoPFTau40_v9  | 0.493498976    | 0.456057615   |
| 167786:1898 | 06/26/11 11:42:27 | 159  | HLT_QuadJet40_IsoPFTau40_v9  | 4.307557810    | 4.200605743   |
| 167807:1900 | 06/26/11 22:30:37 | 1751 | HLT_QuadJet40_IsoPFTau40_v9  | 43.064120483   | 42.491630938  |
| 167830:1900 | 06/27/11 10:18:14 | 1231 | HLT_QuadJet40_IsoPFTau40_v9  | 21.607788966   | 21.313175566  |
| 167898:1901 | 06/27/11 22:29:50 | 1642 | HLT_QuadJet40_IsoPFTau40_v9  | 40.516011974   | 39.898991471  |
| 167913:1901 | 06/28/11 09:15:43 | 431  | HLT_QuadJet40_IsoPFTau40_v9  | 8.115369490    | 7.995297446   |
+-------------+-------------------+------+------------------------------+----------------+---------------+
#Summary: 
+------------------------------+-------+------+-------+-------------------+------------------+
| hltpath                      | nfill | nrun | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+------------------------------+-------+------+-------+-------------------+------------------+
| HLT_QuadJet40_IsoPFTau40_v11 | 3     | 9    | 2606  | 60.440346706      | 59.355680714     |
| HLT_QuadJet40_IsoPFTau40_v7  | 8     | 25   | 9358  | 207.301585427     | 201.604796635    |
| HLT_QuadJet40_IsoPFTau40_v9  | 12    | 22   | 11685 | 258.001193871     | 253.756577050    |
+------------------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 525.743126004
#Sum recorded : 514.717054398
#Check JSON:
