#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                      | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------------------------------+----------------+---------------+
| 178420:2208 | 10/12/11 22:56:14 | 17   | HLT_QuadJet45_IsoPFTau45_v12 | 1.528860006    | 0.567739024   |
| 171050:1966 | 07/22/11 10:30:08 | 582  | HLT_QuadJet45_IsoPFTau45_v6  | 19.065567355   | 18.649032066  |
| 171091:1966 | 07/22/11 15:02:46 | 135  | HLT_QuadJet45_IsoPFTau45_v6  | 3.657513517    | 3.508078301   |
| 171098:1966 | 07/22/11 16:00:27 | 8    | HLT_QuadJet45_IsoPFTau45_v6  | 0.213744690    | 0.097351533   |
| 171102:1966 | 07/22/11 16:13:33 | 19   | HLT_QuadJet45_IsoPFTau45_v6  | 0.501990243    | 0.443460406   |
| 171106:1966 | 07/22/11 16:27:19 | 284  | HLT_QuadJet45_IsoPFTau45_v6  | 7.043571705    | 6.914946404   |
| 171117:1966 | 07/22/11 18:31:12 | 77   | HLT_QuadJet45_IsoPFTau45_v6  | 1.785374272    | 1.720505769   |
| 171156:1967 | 07/22/11 22:03:21 | 639  | HLT_QuadJet45_IsoPFTau45_v6  | 19.916611399   | 19.359876381  |
| 171178:1967 | 07/23/11 02:42:31 | 1014 | HLT_QuadJet45_IsoPFTau45_v6  | 23.527713825   | 23.127128012  |
| 171219:1968 | 07/23/11 14:27:09 | 104  | HLT_QuadJet45_IsoPFTau45_v6  | 4.160959421    | 4.105141250   |
| 171274:1970 | 07/23/11 21:38:12 | 54   | HLT_QuadJet45_IsoPFTau45_v6  | 2.342060896    | 2.129405284   |
| 171282:1970 | 07/23/11 22:07:06 | 159  | HLT_QuadJet45_IsoPFTau45_v6  | 6.418577792    | 6.234585038   |
| 171315:1971 | 07/24/11 01:43:40 | 169  | HLT_QuadJet45_IsoPFTau45_v6  | 6.550196981    | 6.457260413   |
| 171369:1972 | 07/24/11 07:34:07 | 103  | HLT_QuadJet45_IsoPFTau45_v6  | 4.068267258    | 4.009308144   |
| 171446:1974 | 07/24/11 20:17:19 | 783  | HLT_QuadJet45_IsoPFTau45_v6  | 26.979054887   | 26.640879206  |
| 171484:1975 | 07/25/11 04:03:09 | 361  | HLT_QuadJet45_IsoPFTau45_v6  | 13.495095271   | 13.310955106  |
| 171578:1979 | 07/25/11 18:28:23 | 891  | HLT_QuadJet45_IsoPFTau45_v6  | 24.989109941   | 24.661238961  |
| 171812:1982 | 07/26/11 23:36:58 | 371  | HLT_QuadJet45_IsoPFTau45_v6  | 14.143536784   | 13.855254876  |
| 171876:1985 | 07/27/11 13:31:29 | 523  | HLT_QuadJet45_IsoPFTau45_v6  | 19.652103615   | 18.967249687  |
| 171880:1985 | 07/27/11 18:05:08 | 184  | HLT_QuadJet45_IsoPFTau45_v6  | 5.674363127    | 5.592323549   |
| 171895:1985 | 07/27/11 20:51:18 | 1    | HLT_QuadJet45_IsoPFTau45_v6  | 0.028546459    | 0.018517606   |
| 171897:1985 | 07/27/11 21:10:26 | 346  | HLT_QuadJet45_IsoPFTau45_v6  | 8.818972702    | 8.627666419   |
| 171921:1986 | 07/28/11 05:58:47 | 91   | HLT_QuadJet45_IsoPFTau45_v6  | 4.049091067    | 3.927870973   |
| 171926:1986 | 07/28/11 06:43:02 | 249  | HLT_QuadJet45_IsoPFTau45_v6  | 9.796469392    | 9.518664766   |
| 172014:1990 | 07/28/11 21:21:10 | 230  | HLT_QuadJet45_IsoPFTau45_v6  | 10.221564537   | 9.878731420   |
| 172024:1990 | 07/28/11 23:01:18 | 46   | HLT_QuadJet45_IsoPFTau45_v6  | 1.908728612    | 1.795146659   |
| 172033:1990 | 07/29/11 00:07:09 | 728  | HLT_QuadJet45_IsoPFTau45_v6  | 24.788539238   | 24.470492720  |
| 172163:1991 | 07/29/11 13:52:36 | 429  | HLT_QuadJet45_IsoPFTau45_v6  | 17.864907162   | 17.607829315  |
| 172208:1992 | 07/30/11 07:51:54 | 133  | HLT_QuadJet45_IsoPFTau45_v6  | 6.376367722    | 6.149850303   |
| 172252:1993 | 07/30/11 18:59:59 | 23   | HLT_QuadJet45_IsoPFTau45_v6  | 1.139647333    | 1.079812680   |
| 172254:1993 | 07/30/11 19:18:48 | 35   | HLT_QuadJet45_IsoPFTau45_v6  | 1.733867441    | 1.579270529   |
